event_ticker,overconfident,risk_averse,recency_biased,base_rate,contrarian,anchoring
GDP-24OCT30,70.61,101.41,157.4,85.96,-20.0,99.97
GDP-24JUL25,324.69,101.41,115.4,165.79,47.15,102.64
PRES-24,454.0,101.41,143.63,198.11,7.15,97.99
SENATE-24,510.36,101.41,178.78,163.11,-52.85,85.99
FED-24SEP,720.62,101.41,185.72,234.25,-35.71,84.68
KXNEXTPOPE-35,1096.81,98.08,149.05,234.25,149.13,89.25
KXG7LEADEROUT-36,1094.08,100.84,180.38,204.25,89.13,95.56
KXKLARSTRIP-40,1149.83,103.41,204.37,204.25,7.13,86.94
SB-LX,1248.44,103.41,231.78,208.19,-52.87,62.44
GIANNIS-TRADE,1236.68,100.07,259.85,133.19,-152.87,37.94
NFL-SZN-25,1284.7,103.18,288.45,83.19,-257.87,41.32
OSCAR-25-BESTPIC,1453.41,103.18,294.53,83.19,-277.87,40.4
GRAMMY-25-AOTY,1650.36,103.18,279.35,83.19,-250.25,41.94
GOLDEN-GLOBE-25,1860.65,103.18,253.97,83.19,-217.62,44.61
